|index|Symbol|Security Name
0|0|A|Agilent Technologies, Inc. Common Stock
1|1|AA|Alcoa Corporation Common Stock 
2|0|AACG|ATA Creativity Global - American Depositary Shares, each representing two common shares
3|1|AAL|American Airlines Group, Inc. - Common Stock
4|2|AAME|Atlantic American Corporation - Common Stock
5|5|AAN|Aaron's, Inc. Common Stock
6|3|AAOI|Applied Optoelectronics, Inc. - Common Stock
7|4|AAON|AAON, Inc. - Common Stock
8|6|AAP|Advance Auto Parts Inc Advance Auto Parts Inc W/I
9|5|AAPL|Apple Inc. - Common Stock
10|7|AAT|American Assets Trust, Inc. Common Stock
11|6|AAWW|Atlas Air Worldwide Holdings - Common Stock
12|7|AAXJ|iShares MSCI All Country Asia ex Japan Index Fund
13|8|AAXN|Axon Enterprise, Inc. - Common Stock
14|9|AB|AllianceBernstein Holding L.P.  Units
15|10|ABB|ABB Ltd Common Stock
16|11|ABBV|AbbVie Inc. Common Stock
17|12|ABC|AmerisourceBergen Corporation Common Stock
18|9|ABCB|Ameris Bancorp - Common Stock
19|10|ABEO|Abeona Therapeutics Inc. - Common Stock
20|14|ABEV|Ambev S.A. American Depositary Shares (Each representing 1 Common Share)
21|15|ABG|Asbury Automotive Group Inc Common Stock
22|11|ABIO|ARCA biopharma, Inc. - Common Stock
23|16|ABM|ABM Industries Incorporated Common Stock
24|12|ABMD|ABIOMED, Inc. - Common Stock
25|17|ABR|Arbor Realty Trust Common Stock
26|18|ABR-A|Arbor Realty Trust Preferred Series A
27|19|ABR-B|Arbor Realty Trust Cumulative Redeemable Preferred Series B
28|20|ABR-C|Arbor Realty Trust Cumulative Redeemable Preferred Series C
29|21|ABT|Abbott Laboratories Common Stock
30|13|ABTX|Allegiance Bancshares, Inc. - Common Stock
31|14|ABUS|Arbutus Biopharma Corporation - Common Stock
32|22|AC|Associated Capital Group, Inc. Common Stock
33|23|ACA|Arcosa, Inc. Common Stock 
34|15|ACAD|ACADIA Pharmaceuticals Inc. - Common Stock
35|16|ACAM|Acamar Partners Acquisition Corp. - Class A Common Stock
36|17|ACAMU|Acamar Partners Acquisition Corp. - Units
37|18|ACAMW|Acamar Partners Acquisition Corp. - Warrant
38|24|ACB|Aurora Cannabis Inc. Common Shares
39|19|ACBI|Atlantic Capital Bancshares, Inc. - Common Stock
40|25|ACC|American Campus Communities Inc Common Stock
41|26|ACCO|Acco Brands Corporation Common Stock
42|27|ACEL|Accel Entertainment, Inc. 
43|28|ACEL+|Accel Entertainment, Inc. Warrants
44|20|ACER|Acer Therapeutics Inc. - Common Stock
45|21|ACGL|Arch Capital Group Ltd. - Common Stock
46|22|ACGLO|Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F
47|23|ACGLP|Arch Capital Group Ltd. - Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs
48|30|ACH|Aluminum Corporation of China Limited American Depositary Shares
49|24|ACHC|Acadia Healthcare Company, Inc. - Common Stock
50|25|ACHV|Achieve Life Sciences, Inc.  - Common Shares
51|26|ACIA|Acacia Communications, Inc. - Common Stock
52|27|ACIU|AC Immune SA - Common Stock
53|28|ACIW|ACI Worldwide, Inc. - Common Stock
54|29|ACLS|Axcelis Technologies, Inc. - Common Stock
55|32|ACM|AECOM Common Stock
56|30|ACMR|ACM Research, Inc. - Class A Common Stock
57|33|ACN|Accenture plc Class A Ordinary Shares (Ireland)
58|31|ACNB|ACNB Corporation - Common Stock
59|32|ACOR|Acorda Therapeutics, Inc. - Common Stock
60|34|ACP|Aberdeen Income Credit Strategies Fund Common Shares
61|35|ACRE|Ares Commercial Real Estate Corporation Common Stock
62|33|ACRS|Aclaris Therapeutics, Inc. - Common Stock
63|34|ACRX|AcelRx Pharmaceuticals, Inc. - Common Stock
64|35|ACST|Acasti Pharma, Inc. - Class A Common Stock
65|36|ACT|AdvisorShares Vice ETF
66|37|ACTG|Acacia Research Corporation - Common Stock
67|38|ACTT|Act II Global Acquisition Corp. - Class A Ordinary Shares
68|39|ACTTU|Act II Global Acquisition Corp. - Unit
69|40|ACTTW|Act II Global Acquisition Corp. - Warrant
70|39|ACV|AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest
71|41|ACWI|iShares MSCI ACWI Index Fund
72|42|ACWX|iShares MSCI ACWI ex US Index Fund
73|43|ADAP|Adaptimmune Therapeutics plc - American Depositary Shares
74|44|ADBE|Adobe Inc. - Common Stock
75|43|ADC|Agree Realty Corporation Common Stock
76|45|ADES|Advanced Emissions Solutions, Inc. - Common Stock
77|46|ADI|Analog Devices, Inc. - Common Stock
78|47|ADIL|Adial Pharmaceuticals, Inc - Common Stock
79|48|ADILW|Adial Pharmaceuticals, Inc - Warrant
80|44|ADM|Archer-Daniels-Midland Company Common Stock
81|49|ADMA|ADMA Biologics Inc - Common Stock
82|50|ADMP|Adamis Pharmaceuticals Corporation - Common Stock
83|51|ADMS|Adamas Pharmaceuticals, Inc. - Common Stock
84|46|ADNT|Adient plc Ordinary Shares 
85|52|ADP|Automatic Data Processing, Inc. - Common Stock
86|53|ADPT|Adaptive Biotechnologies Corporation - Common Stock
87|54|ADRE|Invesco BLDRS Emerging Markets 50 ADR Index Fund
88|55|ADRO|Aduro Biotech, Inc. - Common Stock
89|47|ADS|Alliance Data Systems Corporation Common Stock
90|56|ADSK|Autodesk, Inc. - Common Stock
91|48|ADSW|Advanced Disposal Services, Inc. Common Stock
92|49|ADT|ADT Inc. Common Stock
93|57|ADTN|ADTRAN, Inc. - Common Stock
94|58|ADUS|Addus HomeCare Corporation - Common Stock
95|59|ADVM|Adverum Biotechnologies, Inc. - Common Stock
96|50|ADX|Adams Diversified Equity Fund Inc.
97|60|ADXN|Addex Therapeutics Ltd - American Depositary Shares
98|61|ADXS|Advaxis, Inc. - Common Stock
99|52|AEB|AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands)
100|53|AEE|Ameren Corporation Common Stock
101|55|AEFC|Aegon Funding Company LLC 5.10% Subordinated Notes due 2049
102|56|AEG|AEGON N.V. Common Stock
103|62|AEGN|Aegion Corp - Class A Common Stock
104|63|AEHR|Aehr Test Systems - Common Stock
105|64|AEIS|Advanced Energy Industries, Inc. - Common Stock
106|57|AEL|American Equity Investment Life Holding Company Common Stock
107|58|AEL-A|American Equity Investment Life Holding Company Depositary Shares, each representing a 1/1,000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock, Series A
108|59|AEM|Agnico Eagle Mines Limited Common Stock
109|65|AEMD|Aethlon Medical, Inc. - Common Stock
110|60|AEO|American Eagle Outfitters, Inc. Common Stock
111|61|AEP|American Electric Power Company, Inc. Common Stock
112|62|AEP-B|American Electric Power Company, Inc. Corporate Unit
113|63|AER|AerCap Holdings N.V. Ordinary Shares
114|66|AERI|Aerie Pharmaceuticals, Inc. - Common Stock
115|64|AES|The AES Corporation Common Stock
116|67|AESE|Allied Esports Entertainment, Inc. - Common Stock
117|68|AEY|ADDvantage Technologies Group, Inc. - Common Stock
118|69|AEYE|AudioEye, Inc. - Common Stock
119|70|AEZS|Aeterna Zentaris Inc. - Common Stock
120|66|AFB|AllianceBernstein National Municipal Income Fund Inc
121|67|AFC|Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15, 2047
122|68|AFG|American Financial Group, Inc. Common Stock
123|69|AFGB|American Financial Group, Inc. 5.875% Subordinated Debentures due 2059
124|70|AFGC|American Financial Group, Inc. 5.125% Subordinated Debentures due 2059
125|71|AFGH|American Financial Group, Inc. 6% Subordinated Debentures due 2055
126|71|AFH|Atlas Financial Holdings, Inc. - Ordinary Shares
127|72|AFI|Armstrong Flooring, Inc. Common Stock
128|72|AFIN|American Finance Trust, Inc. - Class A Common Stock
129|73|AFINP|American Finance Trust, Inc. - 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock
130|75|AFL|AFLAC Incorporated Common Stock
131|74|AFMD|Affimed N.V. - Common Stock
132|79|AFT|Apollo Senior Floating Rate Fund Inc. Common Stock
133|75|AFYA|Afya Limited - Class A Common Shares
134|81|AG|First Majestic Silver Corp. Ordinary Shares (Canada)
135|76|AGBA|AGBA Acquisition Limited - Ordinary Share
136|77|AGBAR|AGBA Acquisition Limited - Right
137|78|AGBAU|AGBA Acquisition Limited - Unit
138|79|AGBAW|AGBA Acquisition Limited - Warrant
139|82|AGCO|AGCO Corporation Common Stock
140|83|AGD|Aberdeen Global Dynamic Dividend Fund
141|80|AGEN|Agenus Inc. - Common Stock
142|81|AGFS|AgroFresh Solutions, Inc. - Common Stock
143|82|AGFSW|AgroFresh Solutions, Inc. - Warrants
144|88|AGI|Alamos Gold Inc. Class A Common Shares
145|83|AGIO|Agios Pharmaceuticals, Inc. - Common Stock
146|84|AGLE|Aeglea BioTherapeutics, Inc. - Common Stock
147|89|AGM|Federal Agricultural Mortgage Corporation Common Stock
148|90|AGM-A|Federal Agricultural Mortgage Corporation 5.875% Non-CUmulative Preferred Stock, Series A
149|91|AGM-C|Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg
150|92|AGM-D|Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock, Series D
151|93|AGM.A|Federal Agricultural Mortgage Corporation Common Stock
152|85|AGMH|AGM Group Holdings Inc. - Class A Ordinary Shares
153|94|AGN|Allergan plc Ordinary Shares
154|86|AGNC|AGNC Investment Corp. - Common Stock
155|87|AGNCM|AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock
156|88|AGNCN|AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock
157|89|AGNCO|AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock
158|90|AGNCP|AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock
159|91|AGND|WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund
160|95|AGO|Assured Guaranty Ltd. Common Stock
161|96|AGO-B|Assured Guaranty Ltd.
162|97|AGO-E|Assured Guaranty Ltd.
163|98|AGO-F|Assured Guaranty Ltd.
164|100|AGR|Avangrid, Inc. Common Stock
165|101|AGRO|Adecoagro S.A. Common Shares
166|92|AGRX|Agile Therapeutics, Inc. - Common Stock
167|102|AGS|PlayAGS, Inc. Common Stock
168|93|AGTC|Applied Genetic Technologies Corporation - Common Stock
169|104|AGX|Argan, Inc. Common Stock
170|94|AGYS|Agilysys, Inc. - Common Stock
171|95|AGZD|WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund
172|106|AHC|A.H. Belo Corporation (TX) Common Stock
173|96|AHCO|AdaptHealth Corp.  - Class A Common Stock
