|index|Symbol|Security Name
174|107|AHH|Armada Hoffler Properties, Inc. Common Stock
175|108|AHH-A|Armada Hoffler Properties, Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock
176|109|AHL-C|Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares
177|110|AHL-D|Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares
178|111|AHL-E|Aspen Insurance Holdings Limited Depositary Shares, each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares
179|97|AHPI|Allied Healthcare Products, Inc. - Common Stock
180|112|AHT|Ashford Hospitality Trust Inc Common Stock
181|113|AHT-D|Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock
182|114|AHT-F|Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock
183|115|AHT-G|Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock
184|116|AHT-H|Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock
185|117|AHT-I|Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock
186|118|AI|Arlington Asset Investment Corp Class A (new)
187|119|AI-B|Arlington Asset Investment Corp 7.00% Series B Cumulative Perpetual Redeemable Preferred Stock
188|120|AI-C|Arlington Asset Investment Corp 8.250% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock
189|98|AIA|iShares Asia 50 ETF
190|121|AIC|Arlington Asset Investment Corp 6.750% Notes due 2025
191|123|AIF|Apollo Tactical Income Fund Inc. Common Stock
192|124|AIG|American International Group, Inc. New Common Stock
193|126|AIG+|American International Group, Inc. Warrant expiring January 19, 2021
194|125|AIG-A|American International Group, Inc. Depositary Shares Each Representing a 1/1,000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock
195|99|AIH|Aesthetic Medical International Holdings Group Ltd. - American Depositary Shares
196|100|AIHS|Senmiao Technology Limited - Common Stock
197|101|AIMC|Altra Industrial Motion Corp. - Common Stock
198|102|AIMT|Aimmune Therapeutics, Inc. - Common Stock
199|129|AIN|Albany International Corporation Common Stock
200|103|AINV|Apollo Investment Corporation - Closed End Fund
201|131|AIO|AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares
202|104|AIQ|Global X Future Analytics Tech ETF
203|132|AIR|AAR Corp. Common Stock
204|105|AIRG|Airgain, Inc. - Common Stock
205|106|AIRR|First Trust RBA American Industrial Renaissance ETF
206|107|AIRT|Air T, Inc. - Common Stock
207|108|AIRTP|Air T, Inc. - Trust Preferred Securities
208|109|AIRTW|Air T, Inc. - Air T Funding Warrants to Purchase Trust Preferred
209|134|AIT|Applied Industrial Technologies, Inc. Common Stock
210|135|AIV|Apartment Investment and Management Company Common Stock
211|136|AIW|Arlington Asset Investment Corp 6.625% Notes due 2023
212|137|AIZ|Assurant, Inc. Common Stock
213|138|AIZP|Assurant, Inc. 6.50% Series D Mandatory Convertible Preferred Stock, $1.00 par value
214|139|AJG|Arthur J. Gallagher & Co. Common Stock
215|140|AJRD|Aerojet Rocketdyne Holdings, Inc. Common Stock
216|141|AJX|Great Ajax Corp. Common Stock
217|142|AJXA|Great Ajax Corp. 7.25% Convertible Senior Notes due 2024
218|110|AKAM|Akamai Technologies, Inc. - Common Stock
219|111|AKBA|Akebia Therapeutics, Inc. - Common Stock
220|112|AKCA|Akcea Therapeutics, Inc. - Common Stock
221|113|AKER|Akers Biosciences Inc. - Common Stock
222|144|AKO.A|Embotelladora Andina S.A. Common Stock
223|145|AKO.B|Embotelladora Andina S.A. Common Stock
224|146|AKR|Acadia Realty Trust Common Stock
225|114|AKRO|Akero Therapeutics, Inc. - Common Stock
226|115|AKRX|Akorn, Inc. - Common Stock
227|147|AKS|AK Steel Holding Corporation Common Stock
228|116|AKTS|Akoustis Technologies, Inc. - Common Stock
229|117|AKTX|Akari Therapeutics Plc - American Depositary Shares
230|148|AL|Air Lease Corporation Class A Common Stock
231|149|AL-A|Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series A
232|118|ALAC|Alberton Acquisition Corporation - Ordinary Shares
233|119|ALACR|Alberton Acquisition Corporation - Rights
234|120|ALACU|Alberton Acquisition Corporation - Unit
235|121|ALACW|Alberton Acquisition Corporation - Warrant
236|150|ALB|Albemarle Corporation Common Stock
237|122|ALBO|Albireo Pharma, Inc. - Common Stock
238|151|ALC|Alcon Inc. Ordinary Shares
239|123|ALCO|Alico, Inc. - Common Stock
240|124|ALDX|Aldeyra Therapeutics, Inc. - Common Stock
241|152|ALE|Allete, Inc.
242|125|ALEC|Alector, Inc. - Common Stock
243|153|ALEX|Alexander & Baldwin, Inc. Common Stock REIT Holding Company
244|155|ALG|Alamo Group, Inc. Common Stock
245|126|ALGN|Align Technology, Inc. - Common Stock
246|127|ALGR|Allegro Merger Corp. - Common Stock
247|128|ALGRR|Allegro Merger Corp. - Right
248|129|ALGRU|Allegro Merger Corp. - Unit
249|130|ALGRW|Allegro Merger Corp. - Warrant
250|131|ALGT|Allegiant Travel Company - Common Stock
251|132|ALIM|Alimera Sciences, Inc. - Common Stock
252|133|ALJJ|ALJ Regional Holdings, Inc. - Common Stock
253|156|ALK|Alaska Air Group, Inc. Common Stock
254|134|ALKS|Alkermes plc - Ordinary Shares
255|157|ALL|Allstate Corporation (The) Common Stock
256|158|ALL-B|Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053
257|159|ALL-G|Allstate Corporation (The) Depositary Shares each representing a 1/1,000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock, Series G
258|160|ALL-H|Allstate Corporation (The) Depositary Shares each representing a 1/1,000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock, Series H
259|161|ALL-I|Allstate Corporation (The) Depositary Shares each representing a 1/1,000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock, Series I
260|162|ALLE|Allegion plc Ordinary Shares
261|135|ALLK|Allakos Inc. - Common Stock
262|136|ALLO|Allogene Therapeutics, Inc. - Common Stock
263|137|ALLT|Allot Ltd. - Ordinary Shares
264|163|ALLY|Ally Financial Inc. Common Stock
265|164|ALLY-A|GMAC Capital Trust I Fixed Rate Floating Rate Trust Preferred Securities, Series 2
266|138|ALNA|Allena Pharmaceuticals, Inc. - Common Stock
267|139|ALNY|Alnylam Pharmaceuticals, Inc. - Common Stock
268|140|ALOT|AstroNova, Inc. - Common Stock
269|166|ALP-Q|Alabama Power Company 5.00% Class A Preferred Stock, Cumulative, Par Value $1 Per Share (Stated Capital $25 Per Share)
270|141|ALPN|Alpine Immune Sciences, Inc. - Common Stock
271|142|ALRM|Alarm.com Holdings, Inc. - Common Stock
272|143|ALRN|Aileron Therapeutics, Inc. - Common Stock
273|144|ALRS|Alerus Financial Corporation - Common Stock
274|145|ALSK|Alaska Communications Systems Group, Inc. - Common Stock
275|167|ALSN|Allison Transmission Holdings, Inc. Common Stock
276|146|ALT|Altimmune, Inc. - Common Stock
277|168|ALTG|Alta Equipment Group Inc. Class A Common Stock
278|169|ALTG+|Alta Equipment Group Inc. Warrants
279|147|ALTM|Altus Midstream Company - Class A Common Stock
280|148|ALTR|Altair Engineering Inc. - Class A Common Stock
281|149|ALTY|Global X SuperDividend Alternatives ETF
282|171|ALUS|Alussa Energy Acquisition Corp. Class A Ordinary Shares
283|173|ALUS+|Alussa Energy Acquisition Corp. Redeemable Warrants, each whole warrant exercisable for one Ordinary Share at an exercise price of $11.50
284|172|ALUS=|Alussa Energy Acquisition Corp. Units, each consisting of one Class A Ordinary Share, and one-half of one redeemable warrant
285|174|ALV|Autoliv, Inc. Common Stock
286|175|ALX|Alexander's, Inc. Common Stock
287|150|ALXN|Alexion Pharmaceuticals, Inc. - Common Stock
288|151|ALYA|Alithya Group inc. - Class A subordinate voting shares
289|176|AM|Antero Midstream Corporation Common Stock
290|152|AMAG|AMAG Pharmaceuticals, Inc. - Common Stock
291|153|AMAL|Amalgamated Bank - Class A Common Stock
292|154|AMAT|Applied Materials, Inc. - Common Stock
293|155|AMBA|Ambarella, Inc. - Ordinary Shares
294|177|AMBC|Ambac Financial Group, Inc. Common Stock
295|178|AMBC+|Ambac Financial Group, Inc. Warrants
296|180|AMC|AMC Entertainment Holdings, Inc. Class A Common Stock
297|156|AMCA|iShares Russell 1000 Pure U.S. Revenue ETF
298|157|AMCI|AMCI Acquisition Corp. - Class A Common Stock
299|158|AMCIU|AMCI Acquisition Corp. - Unit
300|159|AMCIW|AMCI Acquisition Corp. - Warrant
301|181|AMCR|Amcor plc Ordinary Shares
302|160|AMCX|AMC Networks Inc. - Class A Common Stock
303|161|AMD|Advanced Micro Devices, Inc. - Common Stock
304|182|AME|AMETEK, Inc.
305|162|AMED|Amedisys Inc - Common Stock
306|163|AMEH|Apollo Medical Holdings, Inc. - Common Stock
307|183|AMG|Affiliated Managers Group, Inc. Common Stock
308|164|AMGN|Amgen Inc. - Common Stock
309|184|AMH|American Homes 4 Rent Common Shares of Beneficial Interest
310|185|AMH-D|American Homes 4 Rent 6.5% Series D Cumulative Perpetual Preferred Shares of Beneficial Interest
311|186|AMH-E|American Homes 4 Rent 6.35% Series E Cumulative Redeemable Perpetual Preferred Shares of Beneficial Interest
312|187|AMH-F|American Homes 4 Rent 5.875% Series F Cumulative Redeemable Perpetual Preferred Shares
313|188|AMH-G|American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest
314|189|AMH-H|American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest
315|165|AMHC|Amplitude Healthcare Acquisition Corporation - Class A Common Stock
316|166|AMHCU|Amplitude Healthcare Acquisition Corporation - Unit
317|167|AMHCW|Amplitude Healthcare Acquisition Corporation - Warrant
318|192|AMK|AssetMark Financial Holdings, Inc. Common Stock
319|168|AMKR|Amkor Technology, Inc. - Common Stock
320|194|AMN|AMN Healthcare Services Inc AMN Healthcare Services Inc
321|169|AMNB|American National Bankshares, Inc. - Common Stock
322|170|AMOT|Allied Motion Technologies, Inc. - Common Stock
323|196|AMOV|America Movil, S.A.B. de C.V. Class A American Depositary Shares
324|197|AMP|Ameriprise Financial, Inc. Common Stock
325|171|AMPH|Amphastar Pharmaceuticals, Inc. - Common Stock
326|199|AMPY|Amplify Energy Corp. Common Stock
327|172|AMRB|American River Bankshares - Common Stock
328|200|AMRC|Ameresco, Inc. Class A Common Stock
329|173|AMRH|Ameri Holdings, Inc. - Common Stock
330|174|AMRHW|Ameri Holdings, Inc. - Warrant
331|175|AMRK|A-Mark Precious Metals, Inc. - Common Stock
332|176|AMRN|Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share
333|177|AMRS|Amyris, Inc. - Common Stock
334|201|AMRX|Amneal Pharmaceuticals, Inc. Class A Common Stock
335|178|AMSC|American Superconductor Corporation - Common Stock
336|179|AMSF|AMERISAFE, Inc. - Common Stock
337|180|AMSWA|American Software, Inc. - Class A Common Stock
338|203|AMT|American Tower Corporation (REIT) Common Stock
339|181|AMTB|Amerant Bancorp Inc. - Class A Common Stock
340|182|AMTBB|Amerant Bancorp Inc. - Class B Common Stock
341|183|AMTD|TD Ameritrade Holding Corporation - Common Stock
342|184|AMTX|Aemetis, Inc - Common Stock
343|185|AMWD|American Woodmark Corporation - Common Stock
344|206|AMX|America Movil, S.A.B. de C.V. American Depository Receipt Series L
345|186|AMZN|Amazon.com, Inc. - Common Stock
346|208|AN|AutoNation, Inc. Common Stock
347|187|ANAB|AnaptysBio, Inc. - Common Stock
348|188|ANAT|American National Insurance Company - Common Stock
349|189|ANCN|Anchiano Therapeutics Ltd. - American Depositary Shares
350|190|ANDA|Andina Acquisition Corp. III - Ordinary Shares
351|191|ANDAR|Andina Acquisition Corp. III - Right
352|192|ANDAU|Andina Acquisition Corp. III - Unit
353|193|ANDAW|Andina Acquisition Corp. III - Warrant
354|194|ANDE|The Andersons, Inc. - Common Stock
355|209|ANET|Arista Networks, Inc. Common Stock
356|210|ANF|Abercrombie & Fitch Company Common Stock
357|195|ANGI|ANGI Homeservices Inc. - Class A Common Stock
358|196|ANGL|VanEck Vectors Fallen Angel High Yield Bond ETF
359|197|ANGO|AngioDynamics, Inc. - Common Stock
360|211|ANH|Anworth Mortgage Asset Corporation Common Stock
361|212|ANH-A|Anworth Mortgage Asset Corporation Series A Preferred Stock
362|213|ANH-B|Anworth Mortgage Asset  Corporation Preferred Stock Series B 6.25%
363|214|ANH-C|Anworth Mortgage Asset  Corporation 7.625% Series C Cumulative Redeemable  Preferred Stock
364|198|ANIK|Anika Therapeutics Inc. - Common Stock
365|199|ANIP|ANI Pharmaceuticals, Inc. - Common Stock
366|200|ANIX|Anixa Biosciences, Inc. - Common Stock
367|201|ANPC|AnPac Bio-Medical Science Co., Ltd. - American Depositary Shares
368|202|ANSS|ANSYS, Inc. - Common Stock
369|203|ANTE|AirNet Technology Inc. - American Depositary Shares, each representing ten ordinary shares
370|215|ANTM|Anthem, Inc. Common Stock
371|204|ANY|Sphere 3D Corp. - Common Shares
372|205|AOBC|American Outdoor Brands Corporation - Common Stock
373|218|AOD|Aberdeen Total Dynamic Dividend Fund Common Stock
374|221|AON|Aon plc Class A Ordinary Shares (UK)
375|223|AOS|A.O. Smith Corporation Common Stock
376|206|AOSL|Alpha and Omega Semiconductor Limited - Common Shares
377|224|AP|Ampco-Pittsburgh Corporation Common Stock
378|225|APA|Apache Corporation Common Stock
379|226|APAM|Artisan Partners Asset Management Inc. Class A Common Stock
380|227|APD|Air Products and Chemicals, Inc. Common Stock
381|207|APDN|Applied DNA Sciences, Inc. - Common Stock
382|208|APEI|American Public Education, Inc. - Common Stock
383|209|APEN|Apollo Endosurgery, Inc. - Common Stock
384|210|APEX|Apex Global Brands Inc. - Common Stock
385|228|APH|Amphenol Corporation Common Stock
386|229|APHA|Aphria Inc. Common Shares
387|230|APLE|Apple Hospitality REIT, Inc. Common Shares
388|211|APLS|Apellis Pharmaceuticals, Inc. - Common Stock
389|212|APLT|Applied Therapeutics, Inc. - Common Stock
390|213|APM|Aptorum Group Limited - Class A Ordinary Shares
391|231|APO|Apollo Global Management, Inc. Class A Common Stock
392|232|APO-A|Apollo Global Management, Inc. 6.375% Series A Preferred Shares
393|233|APO-B|Apollo Global Management, Inc 6.375% Series B Preferred Shares
394|214|APOG|Apogee Enterprises, Inc. - Common Stock
395|215|APOP|Cellect Biotechnology Ltd. - American Depositary Shares
396|216|APOPW|Cellect Biotechnology Ltd. - Warrants to Purchase ADR (1 WT and $7.50 to purchase 0.2 ADS)
397|217|APPF|AppFolio, Inc. - Class A Common Stock
398|218|APPN|Appian Corporation - Class A Common Stock
399|219|APPS|Digital Turbine, Inc. - Common Stock
400|220|APRE|Aprea Therapeutics, Inc. - Common Stock
401|234|APRN|Blue Apron Holdings, Inc. Class A Common Stock
402|221|APTO|Aptose Biosciences, Inc. - Common Shares
403|236|APTS|Preferred Apartment Communities, Inc. Common Stock
404|237|APTV|Aptiv PLC Ordinary Shares
405|222|APTX|Aptinyx Inc. - Common Stock
406|223|APVO|Aptevo Therapeutics Inc. - Common Stock
407|224|APWC|Asia Pacific Wire & Cable Corporation Limited - Common shares, Par value .01 per share
408|225|APXT|Apex Technology Acquisition Corporation - Class A Common Stock
409|226|APXTU|Apex Technology Acquisition Corporation - Unit
410|227|APXTW|Apex Technology Acquisition Corporation - Warrant
411|238|APY|Apergy Corporation Common Stock 
412|228|APYX|Apyx Medical Corporation - Common Stock
413|229|AQB|AquaBounty Technologies, Inc. - Common Stock
414|230|AQMS|Aqua Metals, Inc. - Common Stock
415|239|AQN|Algonquin Power & Utilities Corp. Common Shares
416|240|AQNA|Algonquin Power & Utilities Corp. 6.875% Fixed-to-Floating Rate Subordinated Notes Series 2018-A due October 17, 2078
417|241|AQNB|Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1, 2079
418|231|AQST|Aquestive Therapeutics, Inc. - Common Stock
419|242|AQUA|Evoqua Water Technologies Corp. Common Stock
420|243|AR|Antero Resources Corporation Common Stock
421|244|ARA|American Renal Associates Holdings, Inc Common Stock
422|232|ARAV|Aravive, Inc. - Common Stock
423|233|ARAY|Accuray Incorporated - Common Stock
424|245|ARC|ARC Document Solutions, Inc. Common Stock
425|234|ARCB|ArcBest Corporation - Common Stock
426|235|ARCC|Ares Capital Corporation - Closed End Fund
427|236|ARCE|Arco Platform Limited - Class A Common Shares
428|246|ARCH|Arch Coal, Inc. Class A Common Stock
429|248|ARCO|Arcos Dorados Holdings Inc. Class A Shares
430|237|ARCT|Arcturus Therapeutics Holdings Inc. - Common Stock
431|249|ARD|Ardagh Group S.A. Common Shares
432|250|ARDC|Ares Dynamic Credit Allocation Fund, Inc. Common Shares
